Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,614.223342360392,556.007220861443,512.012778129357,516.679862210543,485.668418729808
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4578.63320812155,3952.80253807527,4124.05538986272,4531.0193737689,5287.66369446913
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,5493.05669453687,4177.8895415169,3946.45244712537,4109.69821695727,4142.01855842917
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,11525.1563872309,12059.6351646776,12038.2496994923,11003.8297642807,11521.6097798453
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,41302.3821426181,35770.9186530024,37474.7458403618,38964.662014361,41793.3188365378
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,5094.11232930191,3127.89059784461,1728.02375418026,2313.22058359692,2524.94248263123
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,13501.5809223367,14285.3297773091,15198.7429664112,15383.5763979856,16679.5916624545
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3986.23162376713,3607.28929855361,3591.82805221639,3914.52785436696,4220.54032079145
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,26895.0571665314,28399.0501310163,28453.715564598,29348.418968591,30253.7142345626
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.7794001614
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51486.5755014824
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,7891.31314749986,5500.31038244408,3880.73873089556,4147.08971569171,4739.84171028393
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,30154.7386172007,31699.3586317477,31314.844558283,32371.0081755289,33077.3918342474
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,24989.437527708,22634.0856475674,22608.4525623673,23742.9373424159,24086.3016866837
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1118.87380783368,1248.45330989613,1678.95323032604,1839.58337801163,1991.48326659412
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16488.5257320926,16558.8647849868,16909.8865477179,17404.2074696278,17782.8747318576
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,8341.39967861093,5967.05220384914,5039.68188628499,5785.67067254068,6360.06247301284
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47549.2080494546
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4744.10894523227,4805.19685237279,4877.67050593258,4909.60466379916,4927.19422373932
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1291.41018480579,1076.79669785585,1087.28733148547,1136.59387178448,1241.8252980053
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,98467.683993982,102005.62564189,106885.878489327,111820.581466347,113050.73688163
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2652.22565438023,2752.63017233678,2930.5749227006,3286.59674376682,3243.47743748718
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3081.87882365163,3035.97165495107,3076.65643933721,3351.12434432642,3548.59078021899
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,5330.35507751851,4729.69005416208,4994.97162308122,5394.26913970341,6070.35298018619
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7495.22086608805,6402.91018338391,6982.91749241303,7296.09214157008,7503.8785883646
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,12112.8349554875,8813.98980647828,8710.06328995352,9928.67589653405,9151.38173161536
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,41725.8675220155,31164.0362528468,27158.4056535724,28571.608291419,31628.4762566009
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7901.78587639382,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,792.84623742527,653.32726813947,688.250696258197,734.996267960528,804.500537821516
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,274.857836231788,305.511144099475,251.651477227529,250.514600732695,238.034309554717
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,3588.62558418407,3043.03138156811,3131.01759817572,3292.63350335797,3616.46066604314
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,1093.49597573908,1162.90499489402,1269.59149895246,1385.26006616114,1512.12698889384
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1604.21403479187,1382.5097900241,1413.2559568153,1469.44749980724,1585.24053445546
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46548.6384108296
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,74990.4327442868,76284.1942951101,78471.6281355257,81513.1628341398,86180.5396948445
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,424.449131659484,377.422917680195,402.191645130502,450.900697005372,475.953813864813
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,1020.28797948927,776.019752284262,693.449767448537,665.948884859102,726.151007088549
