Country Code,2014,2015,2016,2017,2018
ARM,508528.557,401962.434,431054.208,486251.0982,593939.0875
AUT,101276980.1,86463604.44,88151945.75,97142791.37,105179330.9
AZE,2842166.718,2737858.864,3045122.051,3140108.166,3968700.955
BLR,30327548.9,19281491.2,17465875.4,22315615.5,25474929.4
BOL,4000589.287,3907583.807,3399040.645,3751538.62,3945299.723
BWA,7184292.15,6499346.528,4629240.9,3829899.969,4212618.806
BFA,1768103.619,532410.643,667660.415,789540.0111,881158.2345
BDI,68500.444,53223.227,68377.942,67663.61428,58274.66933
CAF,26890.704,39229.586,20751.965,54765.94377,37865.236
CZE,64935695.72,59141932.68,60938861.14,67627818.86,75092508.02
SWZ,1477634.363,1195939.71,1204881.017,1265064.493,1417535.074
ETH,154082.2279,114664.6945,120519.7603,132417.0485,108825.2875
HUN,20720337.27,17033481.69,17469981.38,20069141.48,21630645.97
KAZ,22654988.51,16588485.42,13798202.47,17456785.28,20032044.69
KGZ,1846551.266,1773871.238,2176698.741,2192050.033,2735793.268
LAO,4019884.855,3462911.571,3704554.572,4377695.512,4996391.24
LSO,1150898.765,1052790.343,1137421.594,1461144.261,1461144.261
LUX,14794518.93,11299265.03,11242322.09,12679932.95,14168661.17
MDA,1349458.129,926265.307,935391.424,1205628.96,1415425.404
MNG,3234860.739,2381412.016,1902118.507,2631749.731,3679180.758
NPL,5874739.886,4928221.524,7063362.527,7787134.222,7787134.222
MKD,1735400.564,1405015.182,1391400.28,1609988.27,1879369.269
PRY,4607519.36,3701645.838,3462053.792,4006633.286,4365964.816
RWA,321842.8337,296754.4025,272534.7723,322172.7241,394737.9983
SRB,3433684.465,2949732.763,3031370.806,3660912.389,4132024.655
SVK,19572390.92,17922261.56,18234050.16,20167701.36,22832393.13
CHE,109751947.8,96367649.67,96101872.68,100843732,107406057.9
UGA,689197.126,631795.719,533997.054,569616.7266,825495.6511
ZMB,2065462.232,799478.3699,1283299.101,1591755.187,1925353.779
ZWE,2998608.307,2827769.977,2566208.71,2284900.781,2845961.623
