Country Code,2014,2015,2016,2017,2018
ARM,1490190.146,1482667.349,1807789.51,2144962.97,2383413.8
AUT,169712859.5,145275530.3,144700690.2,159970530.8,176991970.6
AZE,21751737.15,12646293.68,13380818.57,15306018.3,19489068.2
BDI,141500.677,113790.703,123055.817,149406.4375,169071.1568
BFA,2845603.23,2177496.616,2520012.338,2790162.436,3283185.327
BLR,36080536.8,26660394.6,23537354.5,29239993.9,33726141.4
BOL,13034220.24,8923115.383,7258713.169,8367078.52,9110355.631
BWA,8538068.878,6329746.618,7320705.826,5954788.786,6122376.818
CAF,20701.225,96853.681,88451.252,196990.9372,54264.098
CHE,311145884.2,291959193.9,304691297.2,299308693.1,310524275.1
CZE,174279451.7,157194122.6,162087332.2,182231360.5,202521577.7
ETH,2312018.168,2023552.443,1988502.93,2305900.978,1548554.592
HUN,112536243.8,100296847.3,103009508.3,113382077.4,123957885
KAZ,79458749.15,45954426.05,36775323.4,48502738.96,61109053.21
KGZ,1819460.143,1441467.621,1423028.427,1757463.67,1835179.371
LAO,2572201.001,2985095.357,3124168.977,4909733.655,5814806.369
LSO,818116.2302,603764.58,638298.7404,673150.8377,
LUX,14790882.96,12625702.67,12838381.07,13959035.85,15148367.37
MDA,2339529.843,1966837.314,2044610.956,2425118.752,2706818.216
MKD,4964132.18,4530076.213,4784604.593,5682803.081,6906336.855
MNG,5774330.896,4669280.457,4916326.458,6200592.952,7011757.685
NPL,900858.622,660181.989,728846.4401,740742.9144,
PRY,9635735.187,8327546.291,8501157.586,8679833.045,9042140.68
RWA,615823.9598,593624.1501,613073.6715,942651.252,1004201.169
SRB,14843348.44,13378933.8,14851777.13,16959040.12,19239126.97
SVK,85767258.26,74969507.25,76997192.27,83475386.33,93403168.1
SWZ,2011159.072,1820498.384,1716356.4,1801000.657,1842438.001
UGA,2261964.444,2267008.685,2482313.415,2901465.68,3087363.576
ZMB,9686603.339,6606513.244,6372386.803,8006789.539,9043157.369
ZWE,3871574.325,3410659.131,3341151.096,3480381.867,4037267.07
